city_list,cloudiness,country,date,humidity,lat,long,max_temp,wind_speed
Qaanaaq,80,GL,2019-04-07,88,77.48,-69.36,22.39,13.13
Bilma,0,NE,2019-04-07,20,18.69,12.92,80.71,7.54
Port Alfred,20,ZA,2019-04-07,87,-33.59,26.89,66.99,5.01
Abu Kamal,92,SY,2019-04-07,94,34.45,40.92,55.51,4.41
Moussoro,0,TD,2019-04-07,51,13.64,16.49,80.08,2.39
Tasiilaq,92,GL,2019-04-07,59,65.61,-37.64,33.8,26.4
Mahebourg,40,MU,2019-04-07,74,-20.41,57.7,80.6,12.75
Okhotsk,0,RU,2019-04-07,88,59.36,143.24,23.83,2.62
Pozo Colorado,0,PY,2019-04-07,71,-23.49,-58.8,73.78,7.99
Thompson,90,CA,2019-04-07,45,55.74,-97.86,24.8,12.75
Meulaboh,64,ID,2019-04-07,100,4.14,96.13,80.08,3.06
Honiara,76,SB,2019-04-07,98,-9.43,159.96,76.84,2.51
Hokitika,0,NZ,2019-04-07,100,-42.72,170.96,52.81,6.76
Avarua,32,CK,2019-04-07,74,-21.21,-159.78,82.4,17.22
Thanh Hoa,20,VN,2019-04-07,94,10.21,106.33,77.0,4.41
Lashio,32,MM,2019-04-07,96,22.93,97.75,60.55,1.72
Traverse City,90,US,2019-04-07,45,44.76,-85.62,69.8,6.93
Yulara,20,AU,2019-04-07,42,-25.24,130.99,62.6,4.7
Muros,75,ES,2019-04-07,100,42.77,-9.06,57.99,5.82
Sur,8,OM,2019-04-07,78,22.57,59.53,82.15,3.74
Gimli,88,CA,2019-04-07,93,50.63,-96.99,45.0,3.0
San Cristobal,75,EC,2019-04-07,64,-0.39,-78.55,68.0,10.29
San Andres,48,PH,2019-04-07,100,13.32,122.68,80.26,9.78
Denpasar,40,ID,2019-04-07,88,-8.65,115.22,80.6,6.93
Bambous Virieux,40,MU,2019-04-07,74,-20.34,57.76,80.6,12.75
Aksarka,20,RU,2019-04-07,83,66.56,67.8,20.05,8.99
Chifeng,0,CN,2019-04-07,49,42.27,118.96,24.64,4.29
Yuxia,24,CN,2019-04-07,45,34.06,108.63,62.6,6.71
Bagojo,5,MX,2019-04-07,32,25.87,-109.12,82.4,19.46
Husavik,88,CA,2019-04-07,93,50.56,-96.99,45.0,3.0
Red Bluff,75,US,2019-04-07,60,40.18,-122.24,69.8,16.11
Half Moon Bay,75,US,2019-04-07,72,37.46,-122.43,75.99,6.93
Khasan,44,RU,2019-04-07,83,42.43,130.64,37.96,7.31
Saint-Philippe,90,CA,2019-04-07,57,45.36,-73.48,52.0,10.29
Talnakh,88,RU,2019-04-07,91,69.49,88.39,18.16,12.46
Bredasdorp,0,ZA,2019-04-07,93,-34.53,20.04,62.01,1.12
Kandrian,92,PG,2019-04-07,100,-6.21,149.55,72.79,3.4
Coihaique,75,CL,2019-04-07,87,-45.58,-72.07,59.0,5.82
Yurino,0,RU,2019-04-07,91,56.29,46.29,32.0,11.18
Luderitz,0,NA,2019-04-07,88,-26.65,15.16,59.2,14.25
East London,64,ZA,2019-04-07,100,-33.02,27.91,71.53,20.51
Yellowknife,90,CA,2019-04-07,86,62.45,-114.38,28.99,10.29
Kruisfontein,20,ZA,2019-04-07,77,-34.0,24.73,67.03,15.48
Policoro,90,IT,2019-04-07,87,40.21,16.68,54.0,12.75
Namatanai,48,PG,2019-04-07,100,-3.66,152.44,79.27,9.66
Jacareacanga,80,BR,2019-04-07,90,-6.22,-57.76,76.21,3.96
Codrington,40,AU,2019-04-07,100,-28.95,153.24,66.99,8.05
Uni,76,RU,2019-04-07,98,57.75,51.49,33.55,8.21
Usinsk,76,RU,2019-04-07,92,66.0,57.56,24.91,2.95
Wadi Musa,24,JO,2019-04-07,62,30.32,35.48,58.3,0.72
Kaitangata,0,NZ,2019-04-07,80,-46.28,169.85,51.01,4.0
College,1,US,2019-04-07,36,64.86,-147.8,48.2,4.97
Leningradskiy,36,RU,2019-04-07,95,69.38,178.42,2.77,3.18
Sao Filipe,0,CV,2019-04-07,95,14.9,-24.5,71.8,15.82
Lavrentiya,0,RU,2019-04-07,96,65.58,-170.99,13.75,38.74
Mulchen,0,CL,2019-04-07,35,-37.72,-72.23,86.0,3.18
Milas,40,TR,2019-04-07,82,37.31,27.78,57.2,1.12
Tilichiki,8,RU,2019-04-07,83,60.47,166.1,20.59,3.74
Port Elizabeth,1,US,2019-04-07,52,39.31,-74.98,72.0,11.41
Cabo San Lucas,5,MX,2019-04-07,44,22.89,-109.91,82.99,6.93
Khatanga,24,RU,2019-04-07,72,71.98,102.47,8.44,10.78
Frontera,5,MX,2019-04-07,46,18.53,-92.64,93.2,6.2
Cordoba,80,CO,2019-04-07,78,5.59,-73.79,62.17,1.5
Zorritos,75,PE,2019-04-07,33,-3.68,-80.68,89.6,11.41
Iqaluit,75,CA,2019-04-07,85,63.75,-68.52,23.0,26.4
