State,primary_fuel,sum
OR,Hydro,9036.6
OR,Solar,89.9
OR,Storage,5.0
OR,Waste,196.40000000000003
OR,Wind,2454.5000000000005
PA,Biomass,62.9
PA,Coal,14555.600000000002
PA,Gas,15925.400000000003
PA,Hydro,2460.4999999999995
PA,Nuclear,10485.199999999999
PA,Oil,1933.6
PA,Petcoke,67.0
PA,Solar,58.300000000000004
PA,Storage,32.4
PA,Waste,380.5999999999999
PA,Wind,1391.4
RI,Gas,1698.6000000000001
RI,Hydro,1.6
RI,Oil,14.6
RI,Solar,10.200000000000001
RI,Waste,40.9
RI,Wind,51.0
SC,Biomass,161.0
SC,Coal,5593.2
SC,Gas,5806.500000000001
SC,Hydro,3856.7000000000003
SC,Nuclear,6875.1
SC,Oil,291.79999999999995
SC,Solar,25.3
SC,Waste,416.69999999999993
SD,Coal,451.0
SD,Gas,1250.5000000000002
SD,Hydro,1734.4
SD,Oil,249.39999999999998
SD,Solar,1.0
SD,Wind,822.5999999999999
TN,Biomass,185.7
TN,Coal,7362.7
TN,Gas,6012.999999999999
TN,Hydro,4213.000000000001
TN,Nuclear,4980.8
TN,Oil,52.8
TN,Solar,88.6
TN,Waste,12.6
TN,Wind,28.8
TX,Biomass,183.10000000000002
TX,Coal,26134.0
TX,Cogeneration,66.7
TX,Gas,74256.39999999997
TX,Hydro,626.0999999999999
TX,Nuclear,5138.6
TX,Oil,16.8
TX,Other,45.0
TX,Petcoke,81.5
TX,Solar,595.8000000000001
TX,Waste,280.20000000000005
TX,Wind,20087.1
UT,Biomass,3.2
UT,Coal,4932.3
UT,Cogeneration,9.5
UT,Gas,3227.3
UT,Geothermal,83.8
UT,Hydro,262.1
UT,Oil,24.2
UT,Solar,855.7999999999998
UT,Waste,10.3
UT,Wind,388.2
VA,Biomass,150.0
VA,Coal,7302.200000000001
VA,Gas,11483.2
VA,Hydro,3929.3000000000006
VA,Nuclear,3655.4
VA,Oil,4054.1000000000004
VA,Solar,139.0
VA,Waste,944.8
VT,Biomass,42.1
VT,Hydro,236.80000000000004
VT,Oil,150.3
VT,Solar,61.800000000000004
VT,Storage,4.0
VT,Waste,84.0
VT,Wind,121.0
WA,Biomass,226.3
WA,Coal,1459.8
WA,Gas,5188.200000000001
WA,Hydro,21372.899999999987
WA,Nuclear,1200.0
WA,Oil,18.7
WA,Storage,5.2
WA,Waste,288.2
WA,Wind,3781.2
WI,Biomass,160.6
WI,Coal,8248.8
WI,Gas,7384.700000000001
WI,Hydro,548.3
WI,Nuclear,1311.0
WI,Oil,698.0999999999999
WI,Other,20.8
WI,Petcoke,122.9
WI,Solar,8.1
WI,Waste,211.50000000000003
WI,Wind,634.5
WV,Coal,10895.199999999999
WV,Gas,2293.5
WV,Hydro,417.99999999999994
WV,Storage,44.5
WV,Wind,768.3000000000001
WY,Coal,7294.1
WY,Gas,377.2
WY,Hydro,301.8
WY,Oil,4.7
WY,Other,11.5
WY,Wind,1487.3000000000002
